Y_L(cm),	E(MeV),	YTheta_L(deg),	 A,	 dA,	 peL,	 dpeL,	 peR,	 dpeR
-60.00,	100.00,	-5.00,	-0.6746,	0.0012,	3.76,	0.02,	18.61,	0.03
-60.00,	100.00,	-2.50,	-0.4467,	0.0012,	6.87,	0.02,	17.83,	0.03
-60.00,	100.00,	0.00,	-0.3307,	0.0012,	8.59,	0.02,	17.16,	0.03
-60.00,	100.00,	2.50,	-0.2443,	0.0013,	9.07,	0.02,	15.22,	0.03
-60.00,	100.00,	5.00,	-0.0040,	0.0018,	9.04,	0.02,	9.85,	0.03
-60.00,	100.00,	7.50,	0.4408,	0.0021,	9.42,	0.02,	4.21,	0.03
-60.00,	100.00,	10.00,	0.7002,	0.0017,	9.91,	0.02,	2.03,	0.02
-60.00,	100.00,	15.00,	0.8104,	0.0014,	10.28,	0.02,	1.31,	0.01
-60.00,	100.00,	20.00,	0.8613,	0.0013,	10.01,	0.02,	0.95,	0.01
-60.00,	100.00,	25.00,	0.8477,	0.0014,	8.48,	0.02,	0.90,	0.01
-60.00,	100.00,	30.00,	0.8263,	0.0016,	6.83,	0.02,	0.86,	0.01
-60.00,	100.00,	35.00,	0.8334,	0.0015,	7.02,	0.02,	0.82,	0.01
-60.00,	100.00,	40.00,	0.8153,	0.0015,	7.53,	0.02,	0.93,	0.01
-60.00,	100.00,	60.00,	0.8704,	0.0009,	17.97,	0.05,	1.37,	0.01
-60.00,	100.00,	80.00,	0.8777,	0.0005,	120.11,	0.36,	8.27,	0.04
-40.00,	5.00,	-80.00,	-0.7670,	0.0025,	0.92,	0.01,	7.85,	0.03
-40.00,	5.00,	-60.00,	-0.7454,	0.0019,	1.33,	0.01,	9.89,	0.03
-40.00,	5.00,	-40.00,	-0.6479,	0.0022,	1.79,	0.01,	9.09,	0.02
-40.00,	5.00,	-35.00,	-0.6184,	0.0023,	1.95,	0.01,	8.97,	0.02
-40.00,	5.00,	-30.00,	-0.5907,	0.0024,	2.12,	0.01,	8.83,	0.02
-40.00,	5.00,	-25.00,	-0.5550,	0.0025,	2.35,	0.01,	8.76,	0.02
-40.00,	5.00,	-20.00,	-0.5057,	0.0026,	2.63,	0.01,	8.62,	0.02
-40.00,	5.00,	-15.00,	-0.4482,	0.0027,	2.97,	0.02,	8.35,	0.02
-40.00,	5.00,	-10.00,	-0.3741,	0.0029,	3.35,	0.02,	7.96,	0.02
-40.00,	5.00,	-7.50,	-0.3283,	0.0030,	3.57,	0.02,	7.65,	0.02
-40.00,	5.00,	-5.00,	-0.2838,	0.0030,	3.77,	0.02,	7.39,	0.02
-40.00,	5.00,	-2.50,	-0.2372,	0.0031,	3.97,	0.02,	7.14,	0.03
-40.00,	5.00,	0.00,	-0.1740,	0.0032,	4.25,	0.02,	6.69,	0.02
-40.00,	5.00,	2.50,	-0.1281,	0.0032,	4.42,	0.02,	6.41,	0.02
-40.00,	5.00,	5.00,	-0.0749,	0.0032,	4.64,	0.02,	6.04,	0.02
-40.00,	5.00,	7.50,	-0.0158,	0.0033,	4.85,	0.02,	5.64,	0.02
-40.00,	5.00,	10.00,	0.0432,	0.0033,	5.03,	0.02,	5.25,	0.02
-40.00,	5.00,	15.00,	0.1313,	0.0033,	5.25,	0.02,	4.59,	0.02
-40.00,	5.00,	20.00,	0.2060,	0.0033,	5.38,	0.02,	4.07,	0.02
-40.00,	5.00,	25.00,	0.2781,	0.0032,	5.56,	0.02,	3.56,	0.02
-40.00,	5.00,	30.00,	0.3200,	0.0032,	5.61,	0.02,	3.26,	0.02
-40.00,	5.00,	35.00,	0.3699,	0.0031,	5.65,	0.02,	2.91,	0.02
-40.00,	5.00,	40.00,	0.4133,	0.0031,	5.78,	0.02,	2.66,	0.02
-40.00,	5.00,	60.00,	0.5727,	0.0028,	6.22,	0.02,	1.83,	0.01
-40.00,	5.00,	80.00,	0.6026,	0.0035,	4.96,	0.02,	1.29,	0.01
-40.00,	10.00,	-80.00,	-0.8369,	0.0014,	1.85,	0.01,	23.61,	0.07
-40.00,	10.00,	-60.00,	-0.8121,	0.0012,	2.30,	0.01,	24.22,	0.06
-40.00,	10.00,	-40.00,	-0.7634,	0.0015,	2.32,	0.01,	18.25,	0.05
-40.00,	10.00,	-35.00,	-0.7484,	0.0016,	2.37,	0.02,	17.33,	0.04
-40.00,	10.00,	-30.00,	-0.7294,	0.0017,	2.52,	0.02,	16.62,	0.04
-40.00,	10.00,	-25.00,	-0.7063,	0.0018,	2.71,	0.02,	16.25,	0.04
-40.00,	10.00,	-20.00,	-0.6609,	0.0020,	3.12,	0.02,	15.76,	0.04
-40.00,	10.00,	-15.00,	-0.6010,	0.0022,	3.64,	0.02,	15.22,	0.04
-40.00,	10.00,	-10.00,	-0.5030,	0.0025,	4.46,	0.02,	14.27,	0.04
-40.00,	10.00,	-7.50,	-0.4329,	0.0026,	5.06,	0.02,	13.57,	0.04
-40.00,	10.00,	-5.00,	-0.3594,	0.0027,	5.69,	0.02,	12.88,	0.04
-40.00,	10.00,	-2.50,	-0.2764,	0.0028,	6.30,	0.03,	12.09,	0.04
-40.00,	10.00,	0.00,	-0.1844,	0.0029,	6.91,	0.03,	11.07,	0.04
-40.00,	10.00,	2.50,	-0.0941,	0.0030,	7.51,	0.03,	10.15,	0.04
-40.00,	10.00,	5.00,	0.0105,	0.0031,	8.07,	0.03,	8.99,	0.04
-40.00,	10.00,	7.50,	0.0851,	0.0031,	8.45,	0.03,	8.15,	0.04
-40.00,	10.00,	10.00,	0.1845,	0.0031,	8.96,	0.03,	7.14,	0.03
-40.00,	10.00,	15.00,	0.3216,	0.0030,	9.59,	0.03,	5.69,	0.03
-40.00,	10.00,	20.00,	0.4166,	0.0028,	9.98,	0.03,	4.74,	0.03
-40.00,	10.00,	25.00,	0.4908,	0.0027,	10.34,	0.03,	4.02,	0.03
-40.00,	10.00,	30.00,	0.5381,	0.0025,	10.63,	0.03,	3.58,	0.02
-40.00,	10.00,	35.00,	0.5690,	0.0024,	11.09,	0.03,	3.35,	0.02
-40.00,	10.00,	40.00,	0.5896,	0.0023,	11.58,	0.03,	3.22,	0.02
-40.00,	10.00,	60.00,	0.6787,	0.0019,	15.23,	0.04,	2.94,	0.02
-40.00,	10.00,	80.00,	0.7260,	0.0021,	14.34,	0.05,	2.24,	0.02
-40.00,	50.00,	-80.00,	-0.9155,	0.0003,	7.08,	0.03,	156.74,	0.39
-40.00,	50.00,	-60.00,	-0.9084,	0.0006,	1.65,	0.01,	34.71,	0.13
-40.00,	50.00,	-40.00,	-0.8875,	0.0008,	0.88,	0.01,	13.52,	0.04
-40.00,	50.00,	-35.00,	-0.8920,	0.0009,	0.78,	0.01,	12.32,	0.03
-40.00,	50.00,	-30.00,	-0.8926,	0.0009,	0.77,	0.01,	12.33,	0.03
-40.00,	50.00,	-25.00,	-0.9151,	0.0008,	0.74,	0.01,	15.08,	0.03
-40.00,	50.00,	-20.00,	-0.9198,	0.0007,	0.76,	0.01,	16.51,	0.03
-40.00,	50.00,	-15.00,	-0.9204,	0.0008,	0.83,	0.01,	18.00,	0.03
-40.00,	50.00,	-10.00,	-0.8623,	0.0011,	1.40,	0.01,	17.50,	0.03
-40.00,	50.00,	-7.50,	-0.7669,	0.0014,	2.40,	0.02,	16.86,	0.03
-40.00,	50.00,	-5.00,	-0.5786,	0.0016,	4.48,	0.02,	15.95,	0.03
-40.00,	50.00,	-2.50,	-0.3829,	0.0016,	6.90,	0.02,	15.20,	0.03
-40.00,	50.00,	0.00,	-0.2334,	0.0016,	8.53,	0.02,	13.92,	0.03
-40.00,	50.00,	2.50,	-0.0742,	0.0019,	9.43,	0.02,	11.56,	0.03
-40.00,	50.00,	5.00,	0.1743,	0.0022,	9.95,	0.02,	7.88,	0.03
-40.00,	50.00,	7.50,	0.4744,	0.0022,	10.32,	0.02,	4.36,	0.03
-40.00,	50.00,	10.00,	0.6782,	0.0019,	10.66,	0.02,	2.45,	0.02
-40.00,	50.00,	15.00,	0.8410,	0.0013,	11.14,	0.02,	1.18,	0.01
-40.00,	50.00,	20.00,	0.8727,	0.0012,	10.71,	0.02,	0.91,	0.01
-40.00,	50.00,	25.00,	0.8592,	0.0013,	9.20,	0.02,	0.89,	0.02
-40.00,	50.00,	30.00,	0.8436,	0.0014,	7.85,	0.02,	0.84,	0.01
-40.00,	50.00,	35.00,	0.8387,	0.0014,	7.73,	0.02,	0.85,	0.01
-40.00,	50.00,	40.00,	0.8314,	0.0014,	8.41,	0.02,	0.91,	0.01
-40.00,	50.00,	60.00,	0.8824,	0.0008,	22.12,	0.08,	1.47,	0.02
-40.00,	50.00,	80.00,	0.8795,	0.0006,	90.09,	0.22,	5.91,	0.03
-40.00,	100.00,	-80.00,	-0.9191,	0.0002,	10.71,	0.05,	239.00,	0.72
-40.00,	100.00,	-60.00,	-0.9099,	0.0005,	1.48,	0.01,	30.83,	0.08
-40.00,	100.00,	-40.00,	-0.8880,	0.0008,	0.84,	0.01,	13.10,	0.03
-40.00,	100.00,	-35.00,	-0.8944,	0.0009,	0.73,	0.01,	11.89,	0.03
-40.00,	100.00,	-30.00,	-0.8943,	0.0009,	0.73,	0.01,	12.09,	0.03
-40.00,	100.00,	-25.00,	-0.9225,	0.0007,	0.68,	0.01,	15.33,	0.03
-40.00,	100.00,	-20.00,	-0.9136,	0.0007,	0.79,	0.01,	16.17,	0.03
-40.00,	100.00,	-15.00,	-0.9365,	0.0006,	0.69,	0.01,	18.52,	0.03
-40.00,	100.00,	-10.00,	-0.9130,	0.0008,	0.90,	0.01,	17.86,	0.03
-40.00,	100.00,	-7.50,	-0.8358,	0.0011,	1.62,	0.01,	16.85,	0.03
-40.00,	100.00,	-5.00,	-0.5962,	0.0014,	4.23,	0.02,	16.04,	0.03
-40.00,	100.00,	-2.50,	-0.3547,	0.0013,	7.46,	0.02,	15.49,	0.03
-40.00,	100.00,	0.00,	-0.2382,	0.0013,	9.08,	0.02,	14.77,	0.03
-40.00,	100.00,	2.50,	-0.1219,	0.0014,	9.75,	0.02,	12.67,	0.03
-40.00,	100.00,	5.00,	0.1609,	0.0019,	10.07,	0.02,	7.88,	0.03
-40.00,	100.00,	7.50,	0.5900,	0.0019,	10.41,	0.02,	3.08,	0.02
-40.00,	100.00,	10.00,	0.7786,	0.0015,	10.80,	0.02,	1.58,	0.02
-40.00,	100.00,	15.00,	0.8695,	0.0012,	11.38,	0.02,	0.98,	0.01
-40.00,	100.00,	20.00,	0.8876,	0.0011,	10.87,	0.02,	0.82,	0.02
-40.00,	100.00,	25.00,	0.8662,	0.0012,	9.12,	0.02,	0.81,	0.01
-40.00,	100.00,	30.00,	0.8428,	0.0014,	7.53,	0.02,	0.80,	0.01
-40.00,	100.00,	35.00,	0.8448,	0.0014,	7.55,	0.02,	0.78,	0.01
-40.00,	100.00,	40.00,	0.8282,	0.0013,	8.20,	0.02,	0.91,	0.02
-40.00,	100.00,	60.00,	0.8881,	0.0008,	20.03,	0.05,	1.29,	0.01
-40.00,	100.00,	80.00,	0.8878,	0.0004,	133.57,	0.40,	8.37,	0.04
-20.00,	5.00,	-80.00,	-0.7303,	0.0027,	0.99,	0.01,	6.90,	0.03
-20.00,	5.00,	-60.00,	-0.7119,	0.0021,	1.39,	0.01,	8.72,	0.02
-20.00,	5.00,	-40.00,	-0.6023,	0.0024,	1.92,	0.01,	8.09,	0.02
-20.00,	5.00,	-35.00,	-0.5673,	0.0025,	2.10,	0.01,	7.94,	0.02
-20.00,	5.00,	-30.00,	-0.5361,	0.0026,	2.28,	0.01,	7.80,	0.02
-20.00,	5.00,	-25.00,	-0.5021,	0.0027,	2.49,	0.01,	7.77,	0.02
-20.00,	5.00,	-20.00,	-0.4460,	0.0028,	2.82,	0.02,	7.56,	0.02
-20.00,	5.00,	-15.00,	-0.3826,	0.0029,	3.18,	0.02,	7.33,	0.02
-20.00,	5.00,	-10.00,	-0.3002,	0.0030,	3.64,	0.02,	6.97,	0.02
-20.00,	5.00,	-7.50,	-0.2497,	0.0031,	3.90,	0.02,	6.74,	0.02
-20.00,	5.00,	-5.00,	-0.1968,	0.0031,	4.16,	0.02,	6.47,	0.02
-20.00,	5.00,	-2.50,	-0.1493,	0.0032,	4.39,	0.02,	6.22,	0.02
-20.00,	5.00,	0.00,	-0.0931,	0.0032,	4.63,	0.02,	5.89,	0.02
-20.00,	5.00,	2.50,	-0.0434,	0.0032,	4.83,	0.02,	5.60,	0.02
-20.00,	5.00,	5.00,	0.0220,	0.0033,	5.11,	0.02,	5.24,	0.02
-20.00,	5.00,	7.50,	0.0696,	0.0033,	5.28,	0.02,	4.93,	0.02
-20.00,	5.00,	10.00,	0.1255,	0.0032,	5.47,	0.02,	4.60,	0.02
-20.00,	5.00,	15.00,	0.2147,	0.0032,	5.75,	0.02,	4.01,	0.02
-20.00,	5.00,	20.00,	0.2867,	0.0031,	5.93,	0.02,	3.55,	0.02
-20.00,	5.00,	25.00,	0.3495,	0.0031,	6.08,	0.02,	3.15,	0.02
-20.00,	5.00,	30.00,	0.3938,	0.0030,	6.15,	0.02,	2.86,	0.02
-20.00,	5.00,	35.00,	0.4375,	0.0030,	6.22,	0.02,	2.59,	0.02
-20.00,	5.00,	40.00,	0.4776,	0.0029,	6.31,	0.02,	2.36,	0.02
-20.00,	5.00,	60.00,	0.6204,	0.0025,	6.86,	0.02,	1.65,	0.01
-20.00,	5.00,	80.00,	0.6518,	0.0032,	5.47,	0.02,	1.15,	0.01
-20.00,	10.00,	-80.00,	-0.8155,	0.0015,	1.87,	0.01,	20.54,	0.06
-20.00,	10.00,	-60.00,	-0.7846,	0.0013,	2.38,	0.01,	21.26,	0.05
-20.00,	10.00,	-40.00,	-0.7304,	0.0017,	2.43,	0.02,	16.20,	0.04
-20.00,	10.00,	-35.00,	-0.7148,	0.0018,	2.50,	0.02,	15.43,	0.04
-20.00,	10.00,	-30.00,	-0.6931,	0.0019,	2.65,	0.02,	14.85,	0.04
-20.00,	10.00,	-25.00,	-0.6618,	0.0020,	2.93,	0.02,	14.38,	0.04
-20.00,	10.00,	-20.00,	-0.6176,	0.0022,	3.32,	0.02,	14.03,	0.04
-20.00,	10.00,	-15.00,	-0.5462,	0.0024,	3.91,	0.02,	13.42,	0.04
-20.00,	10.00,	-10.00,	-0.4298,	0.0027,	4.89,	0.02,	12.44,	0.03
-20.00,	10.00,	-7.50,	-0.3601,	0.0028,	5.51,	0.03,	11.89,	0.03
-20.00,	10.00,	-5.00,	-0.2836,	0.0028,	6.17,	0.03,	11.33,	0.03
-20.00,	10.00,	-2.50,	-0.1874,	0.0029,	6.91,	0.03,	10.49,	0.03
-20.00,	10.00,	0.00,	-0.0900,	0.0030,	7.66,	0.03,	9.70,	0.03
-20.00,	10.00,	2.50,	0.0026,	0.0030,	8.31,	0.03,	8.81,	0.03
-20.00,	10.00,	5.00,	0.0956,	0.0030,	8.87,	0.03,	7.92,	0.03
-20.00,	10.00,	7.50,	0.1910,	0.0030,	9.38,	0.03,	6.98,	0.03
-20.00,	10.00,	10.00,	0.2668,	0.0030,	9.85,	0.03,	6.26,	0.03
-20.00,	10.00,	15.00,	0.4015,	0.0028,	10.52,	0.03,	4.97,	0.03
-20.00,	10.00,	20.00,	0.4870,	0.0026,	10.98,	0.03,	4.17,	0.03
-20.00,	10.00,	25.00,	0.5496,	0.0025,	11.33,	0.03,	3.58,	0.02
-20.00,	10.00,	30.00,	0.5889,	0.0023,	11.65,	0.03,	3.24,	0.02
-20.00,	10.00,	35.00,	0.6176,	0.0022,	12.12,	0.03,	3.01,	0.02
-20.00,	10.00,	40.00,	0.6395,	0.0021,	12.77,	0.03,	2.90,	0.02
-20.00,	10.00,	60.00,	0.7169,	0.0017,	16.76,	0.04,	2.70,	0.02
-20.00,	10.00,	80.00,	0.7571,	0.0019,	16.03,	0.05,	2.10,	0.02
-20.00,	50.00,	-80.00,	-0.9086,	0.0004,	6.58,	0.03,	134.52,	0.33
-20.00,	50.00,	-60.00,	-0.8962,	0.0006,	1.63,	0.01,	30.08,	0.12
-20.00,	50.00,	-40.00,	-0.8823,	0.0009,	0.83,	0.01,	12.09,	0.03
-20.00,	50.00,	-35.00,	-0.8896,	0.0009,	0.74,	0.01,	11.19,	0.03
-20.00,	50.00,	-30.00,	-0.8877,	0.0010,	0.75,	0.01,	11.15,	0.03
-20.00,	50.00,	-25.00,	-0.9040,	0.0009,	0.74,	0.01,	13.04,	0.03
-20.00,	50.00,	-20.00,	-0.9141,	0.0008,	0.74,	0.01,	14.72,	0.03
-20.00,	50.00,	-15.00,	-0.9067,	0.0009,	0.87,	0.01,	15.69,	0.03
-20.00,	50.00,	-10.00,	-0.8298,	0.0012,	1.56,	0.01,	15.11,	0.03
-20.00,	50.00,	-7.50,	-0.7143,	0.0016,	2.69,	0.02,	14.67,	0.03
-20.00,	50.00,	-5.00,	-0.5072,	0.0018,	4.90,	0.02,	14.03,	0.03
-20.00,	50.00,	-2.50,	-0.2871,	0.0017,	7.53,	0.02,	13.26,	0.03
-20.00,	50.00,	0.00,	-0.1181,	0.0017,	9.30,	0.02,	11.90,	0.03
-20.00,	50.00,	2.50,	0.0531,	0.0019,	10.35,	0.02,	9.76,	0.03
-20.00,	50.00,	5.00,	0.3045,	0.0021,	10.99,	0.02,	6.52,	0.03
-20.00,	50.00,	7.50,	0.5750,	0.0020,	11.33,	0.02,	3.53,	0.02
-20.00,	50.00,	10.00,	0.7420,	0.0017,	11.76,	0.02,	2.05,	0.02
-20.00,	50.00,	15.00,	0.8687,	0.0012,	12.29,	0.02,	1.03,	0.01
-20.00,	50.00,	20.00,	0.8868,	0.0011,	11.74,	0.02,	0.85,	0.01
-20.00,	50.00,	25.00,	0.8731,	0.0012,	10.22,	0.02,	0.82,	0.01
-20.00,	50.00,	30.00,	0.8531,	0.0013,	8.70,	0.02,	0.82,	0.01
-20.00,	50.00,	35.00,	0.8511,	0.0013,	8.50,	0.02,	0.82,	0.01
-20.00,	50.00,	40.00,	0.8481,	0.0012,	9.29,	0.03,	0.88,	0.01
-20.00,	50.00,	60.00,	0.8880,	0.0008,	24.20,	0.09,	1.49,	0.01
-20.00,	50.00,	80.00,	0.8907,	0.0005,	101.73,	0.25,	6.00,	0.03
-20.00,	100.00,	-80.00,	-0.9127,	0.0003,	9.75,	0.04,	202.46,	0.61
-20.00,	100.00,	-60.00,	-0.8947,	0.0006,	1.47,	0.01,	26.04,	0.07
-20.00,	100.00,	-40.00,	-0.8861,	0.0009,	0.79,	0.01,	11.97,	0.03
-20.00,	100.00,	-35.00,	-0.8928,	0.0009,	0.69,	0.01,	10.88,	0.03
-20.00,	100.00,	-30.00,	-0.8894,	0.0010,	0.73,	0.01,	11.02,	0.03
-20.00,	100.00,	-25.00,	-0.9027,	0.0009,	0.74,	0.01,	12.82,	0.03
-20.00,	100.00,	-20.00,	-0.9206,	0.0008,	0.70,	0.01,	14.82,	0.03
-20.00,	100.00,	-15.00,	-0.9251,	0.0007,	0.71,	0.01,	16.10,	0.03
-20.00,	100.00,	-10.00,	-0.8817,	0.0009,	1.07,	0.01,	15.27,	0.03
-20.00,	100.00,	-7.50,	-0.7935,	0.0012,	1.86,	0.01,	14.83,	0.03
-20.00,	100.00,	-5.00,	-0.5235,	0.0016,	4.69,	0.02,	14.26,	0.03
-20.00,	100.00,	-2.50,	-0.2596,	0.0014,	8.12,	0.02,	13.65,	0.02
-20.00,	100.00,	0.00,	-0.1200,	0.0014,	9.94,	0.02,	12.68,	0.02
-20.00,	100.00,	2.50,	0.0159,	0.0015,	10.79,	0.02,	10.63,	0.02
-20.00,	100.00,	5.00,	0.3169,	0.0018,	11.20,	0.02,	6.25,	0.02
-20.00,	100.00,	7.50,	0.6792,	0.0016,	11.41,	0.02,	2.46,	0.02
-20.00,	100.00,	10.00,	0.8175,	0.0013,	11.75,	0.02,	1.36,	0.01
-20.00,	100.00,	15.00,	0.8935,	0.0010,	12.57,	0.02,	0.86,	0.01
-20.00,	100.00,	20.00,	0.9000,	0.0010,	11.91,	0.02,	0.75,	0.01
-20.00,	100.00,	25.00,	0.8765,	0.0011,	10.07,	0.02,	0.78,	0.01
-20.00,	100.00,	30.00,	0.8512,	0.0013,	8.42,	0.02,	0.79,	0.01
-20.00,	100.00,	35.00,	0.8570,	0.0013,	8.23,	0.02,	0.75,	0.01
-20.00,	100.00,	40.00,	0.8487,	0.0012,	9.14,	0.03,	0.86,	0.01
-20.00,	100.00,	60.00,	0.8920,	0.0007,	21.40,	0.06,	1.30,	0.01
-20.00,	100.00,	80.00,	0.8973,	0.0003,	151.06,	0.45,	8.61,	0.04
-10.00,	5.00,	-80.00,	-0.7180,	0.0028,	1.01,	0.01,	6.52,	0.03
-10.00,	5.00,	-60.00,	-0.6958,	0.0022,	1.43,	0.01,	8.21,	0.02
-10.00,	5.00,	-40.00,	-0.5780,	0.0026,	1.99,	0.01,	7.63,	0.02
-10.00,	5.00,	-35.00,	-0.5428,	0.0026,	2.18,	0.01,	7.49,	0.02
-10.00,	5.00,	-30.00,	-0.5040,	0.0027,	2.40,	0.01,	7.35,	0.02
-10.00,	5.00,	-25.00,	-0.4629,	0.0028,	2.67,	0.02,	7.29,	0.02
-10.00,	5.00,	-20.00,	-0.4113,	0.0029,	2.94,	0.02,	7.08,	0.02
-10.00,	5.00,	-15.00,	-0.3471,	0.0030,	3.34,	0.02,	6.92,	0.02
-10.00,	5.00,	-10.00,	-0.2618,	0.0031,	3.80,	0.02,	6.55,	0.02
-10.00,	5.00,	-7.50,	-0.2084,	0.0032,	4.09,	0.02,	6.27,	0.02
-10.00,	5.00,	-5.00,	-0.1556,	0.0032,	4.35,	0.02,	6.06,	0.02
-10.00,	5.00,	-2.50,	-0.1020,	0.0032,	4.61,	0.02,	5.81,	0.02
-10.00,	5.00,	0.00,	-0.0503,	0.0032,	4.84,	0.02,	5.52,	0.02
-10.00,	5.00,	2.50,	0.0063,	0.0033,	5.09,	0.02,	5.22,	0.02
-10.00,	5.00,	5.00,	0.0590,	0.0032,	5.34,	0.02,	4.96,	0.02
-10.00,	5.00,	7.50,	0.1223,	0.0032,	5.63,	0.02,	4.58,	0.02
-10.00,	5.00,	10.00,	0.1694,	0.0032,	5.80,	0.02,	4.32,	0.02
-10.00,	5.00,	15.00,	0.2578,	0.0031,	6.09,	0.02,	3.77,	0.02
-10.00,	5.00,	20.00,	0.3257,	0.0031,	6.25,	0.02,	3.32,	0.02
-10.00,	5.00,	25.00,	0.3833,	0.0030,	6.37,	0.02,	2.99,	0.02
-10.00,	5.00,	30.00,	0.4359,	0.0029,	6.52,	0.02,	2.66,	0.02
-10.00,	5.00,	35.00,	0.4685,	0.0029,	6.58,	0.02,	2.44,	0.01
-10.00,	5.00,	40.00,	0.5127,	0.0028,	6.70,	0.02,	2.22,	0.01
-10.00,	5.00,	60.00,	0.6515,	0.0024,	7.27,	0.02,	1.56,	0.01
-10.00,	5.00,	80.00,	0.6781,	0.0031,	5.81,	0.02,	1.09,	0.01
-10.00,	10.00,	-80.00,	-0.8022,	0.0016,	1.91,	0.01,	19.19,	0.06
-10.00,	10.00,	-60.00,	-0.7722,	0.0014,	2.40,	0.01,	20.06,	0.05
-10.00,	10.00,	-40.00,	-0.7122,	0.0018,	2.50,	0.02,	15.25,	0.04
-10.00,	10.00,	-35.00,	-0.6899,	0.0019,	2.63,	0.02,	14.47,	0.04
-10.00,	10.00,	-30.00,	-0.6724,	0.0020,	2.75,	0.02,	13.98,	0.04
-10.00,	10.00,	-25.00,	-0.6356,	0.0022,	3.05,	0.02,	13.48,	0.03
-10.00,	10.00,	-20.00,	-0.5887,	0.0023,	3.46,	0.02,	13.08,	0.03
-10.00,	10.00,	-15.00,	-0.5119,	0.0025,	4.10,	0.02,	12.56,	0.03
-10.00,	10.00,	-10.00,	-0.3906,	0.0028,	5.15,	0.03,	11.67,	0.03
-10.00,	10.00,	-7.50,	-0.3218,	0.0028,	5.75,	0.03,	11.16,	0.03
-10.00,	10.00,	-5.00,	-0.2317,	0.0029,	6.52,	0.03,	10.53,	0.03
-10.00,	10.00,	-2.50,	-0.1390,	0.0030,	7.31,	0.03,	9.79,	0.03
-10.00,	10.00,	0.00,	-0.0495,	0.0030,	8.02,	0.03,	9.08,	0.03
-10.00,	10.00,	2.50,	0.0454,	0.0030,	8.68,	0.03,	8.24,	0.03
-10.00,	10.00,	5.00,	0.1399,	0.0030,	9.33,	0.03,	7.41,	0.03
-10.00,	10.00,	7.50,	0.2306,	0.0030,	9.88,	0.03,	6.54,	0.03
-10.00,	10.00,	10.00,	0.2969,	0.0029,	10.28,	0.03,	5.95,	0.03
-10.00,	10.00,	15.00,	0.4371,	0.0027,	11.10,	0.03,	4.65,	0.03
-10.00,	10.00,	20.00,	0.5231,	0.0025,	11.61,	0.03,	3.89,	0.02
-10.00,	10.00,	25.00,	0.5830,	0.0024,	11.98,	0.03,	3.34,	0.02
-10.00,	10.00,	30.00,	0.6126,	0.0022,	12.29,	0.03,	3.08,	0.02
-10.00,	10.00,	35.00,	0.6418,	0.0021,	12.85,	0.03,	2.89,	0.02
-10.00,	10.00,	40.00,	0.6639,	0.0020,	13.45,	0.04,	2.76,	0.02
-10.00,	10.00,	60.00,	0.7373,	0.0016,	17.68,	0.04,	2.57,	0.02
-10.00,	10.00,	80.00,	0.7748,	0.0018,	16.84,	0.05,	1.99,	0.01
-10.00,	50.00,	-80.00,	-0.9048,	0.0004,	6.38,	0.03,	125.32,	0.31
-10.00,	50.00,	-60.00,	-0.8948,	0.0007,	1.57,	0.01,	28.22,	0.11
-10.00,	50.00,	-40.00,	-0.8678,	0.0010,	0.89,	0.01,	11.31,	0.03
-10.00,	50.00,	-35.00,	-0.8760,	0.0010,	0.78,	0.01,	10.43,	0.03
-10.00,	50.00,	-30.00,	-0.8761,	0.0011,	0.78,	0.01,	10.36,	0.03
-10.00,	50.00,	-25.00,	-0.8953,	0.0009,	0.77,	0.01,	12.22,	0.03
-10.00,	50.00,	-20.00,	-0.9102,	0.0009,	0.75,	0.01,	13.84,	0.03
-10.00,	50.00,	-15.00,	-0.9000,	0.0009,	0.88,	0.01,	14.72,	0.03
-10.00,	50.00,	-10.00,	-0.8111,	0.0013,	1.65,	0.01,	14.11,	0.03
-10.00,	50.00,	-7.50,	-0.6861,	0.0017,	2.83,	0.02,	13.66,	0.03
-10.00,	50.00,	-5.00,	-0.4636,	0.0019,	5.16,	0.02,	13.04,	0.03
-10.00,	50.00,	-2.50,	-0.2287,	0.0018,	7.96,	0.02,	12.28,	0.03
-10.00,	50.00,	0.00,	-0.0563,	0.0017,	9.84,	0.02,	11.07,	0.02
-10.00,	50.00,	2.50,	0.1151,	0.0019,	10.91,	0.02,	9.04,	0.03
-10.00,	50.00,	5.00,	0.3571,	0.0020,	11.52,	0.02,	6.00,	0.02
-10.00,	50.00,	7.50,	0.6119,	0.0019,	11.88,	0.02,	3.27,	0.02
-10.00,	50.00,	10.00,	0.7692,	0.0015,	12.44,	0.02,	1.86,	0.02
-10.00,	50.00,	15.00,	0.8806,	0.0011,	13.03,	0.02,	0.98,	0.01
-10.00,	50.00,	20.00,	0.8945,	0.0010,	12.34,	0.02,	0.81,	0.01
-10.00,	50.00,	25.00,	0.8796,	0.0011,	10.83,	0.03,	0.80,	0.01
-10.00,	50.00,	30.00,	0.8583,	0.0012,	9.28,	0.03,	0.83,	0.01
-10.00,	50.00,	35.00,	0.8545,	0.0012,	9.07,	0.03,	0.82,	0.01
-10.00,	50.00,	40.00,	0.8483,	0.0012,	9.86,	0.03,	0.90,	0.01
-10.00,	50.00,	60.00,	0.8918,	0.0007,	25.23,	0.10,	1.49,	0.02
-10.00,	50.00,	80.00,	0.8976,	0.0005,	108.97,	0.27,	5.99,	0.03
