Y_L(cm),	E(MeV),	YTheta_L(deg),	 A,	 dA,	 peL,	 dpeL,	 peR,	 dpeR
-90.00,	50.00,	-20.00,	-0.9744,	0.0003,	0.48,	0.01,	33.91,	0.05
-90.00,	50.00,	-15.00,	-0.9732,	0.0004,	0.52,	0.01,	34.45,	0.05
-90.00,	50.00,	-10.00,	-0.9497,	0.0005,	0.95,	0.01,	34.28,	0.04
-90.00,	50.00,	-7.50,	-0.9099,	0.0006,	1.70,	0.01,	34.35,	0.04
-90.00,	50.00,	-5.00,	-0.8285,	0.0008,	3.30,	0.02,	34.35,	0.04
-90.00,	50.00,	-2.50,	-0.7298,	0.0009,	5.21,	0.02,	33.57,	0.05
-90.00,	50.00,	0.00,	-0.6477,	0.0010,	6.44,	0.02,	31.11,	0.05
-90.00,	50.00,	2.50,	-0.5514,	0.0013,	7.21,	0.02,	26.97,	0.05
-90.00,	50.00,	5.00,	-0.3582,	0.0019,	7.71,	0.02,	19.40,	0.06
-90.00,	50.00,	7.50,	-0.0325,	0.0025,	8.12,	0.02,	11.33,	0.05
-90.00,	50.00,	10.00,	0.2843,	0.0026,	8.54,	0.02,	6.28,	0.04
-90.00,	50.00,	15.00,	0.5833,	0.0021,	9.04,	0.02,	2.99,	0.02
-90.00,	50.00,	20.00,	0.6276,	0.0019,	8.73,	0.02,	2.43,	0.02
-90.00,	50.00,	25.00,	0.6726,	0.0019,	7.69,	0.02,	1.96,	0.02
-90.00,	50.00,	30.00,	0.7363,	0.0020,	6.39,	0.02,	1.44,	0.02
-90.00,	50.00,	35.00,	0.7668,	0.0019,	6.43,	0.02,	1.26,	0.02
-90.00,	50.00,	40.00,	0.7691,	0.0019,	6.92,	0.02,	1.28,	0.02
-90.00,	50.00,	60.00,	0.8359,	0.0012,	17.81,	0.07,	1.88,	0.02
-90.00,	50.00,	80.00,	0.8376,	0.0008,	71.44,	0.18,	6.66,	0.04
-90.00,	100.00,	-80.00,	-0.9330,	0.0002,	16.69,	0.05,	547.77,	1.81
-90.00,	100.00,	-60.00,	-0.8264,	0.0006,	3.94,	0.01,	46.47,	0.19
-90.00,	100.00,	-40.00,	-0.8186,	0.0009,	1.68,	0.01,	17.18,	0.05
-90.00,	100.00,	-35.00,	-0.8787,	0.0007,	1.20,	0.01,	18.41,	0.05
-90.00,	100.00,	-30.00,	-0.9398,	0.0005,	0.74,	0.01,	22.72,	0.05
-90.00,	100.00,	-25.00,	-0.9709,	0.0003,	0.48,	0.01,	29.94,	0.05
-90.00,	100.00,	-20.00,	-0.9788,	0.0003,	0.40,	0.01,	33.59,	0.05
-90.00,	100.00,	-15.00,	-0.9790,	0.0003,	0.41,	0.01,	33.96,	0.04
-90.00,	100.00,	-10.00,	-0.9705,	0.0004,	0.57,	0.01,	34.31,	0.04
-90.00,	100.00,	-7.50,	-0.9438,	0.0005,	1.08,	0.01,	34.56,	0.04
-90.00,	100.00,	-5.00,	-0.8416,	0.0007,	3.14,	0.01,	35.40,	0.05
-90.00,	100.00,	-2.50,	-0.7178,	0.0007,	5.73,	0.02,	34.80,	0.04
-90.00,	100.00,	0.00,	-0.6529,	0.0008,	6.89,	0.02,	32.95,	0.04
-90.00,	100.00,	2.50,	-0.5993,	0.0009,	7.37,	0.02,	30.03,	0.04
-90.00,	100.00,	5.00,	-0.4085,	0.0015,	7.82,	0.02,	20.53,	0.05
-90.00,	100.00,	7.50,	0.0726,	0.0023,	8.22,	0.02,	8.63,	0.04
-90.00,	100.00,	10.00,	0.4515,	0.0021,	8.67,	0.02,	4.00,	0.03
-90.00,	100.00,	15.00,	0.6750,	0.0018,	9.31,	0.02,	2.29,	0.03
-90.00,	100.00,	20.00,	0.6204,	0.0018,	8.73,	0.02,	2.41,	0.02
-90.00,	100.00,	25.00,	0.6755,	0.0019,	7.67,	0.02,	1.87,	0.02
-90.00,	100.00,	30.00,	0.7559,	0.0020,	6.00,	0.02,	1.23,	0.02
-90.00,	100.00,	35.00,	0.7774,	0.0019,	6.43,	0.02,	1.19,	0.02
-90.00,	100.00,	40.00,	0.7749,	0.0018,	6.85,	0.02,	1.21,	0.02
-90.00,	100.00,	60.00,	0.8376,	0.0011,	15.80,	0.04,	1.67,	0.03
-90.00,	100.00,	80.00,	0.8539,	0.0006,	105.24,	0.31,	8.87,	0.05
-80.00,	5.00,	-80.00,	-0.8375,	0.0019,	0.85,	0.01,	11.73,	0.05
-80.00,	5.00,	-60.00,	-0.8210,	0.0014,	1.23,	0.01,	14.44,	0.04
-80.00,	5.00,	-40.00,	-0.7510,	0.0017,	1.63,	0.01,	13.18,	0.03
-80.00,	5.00,	-35.00,	-0.7326,	0.0017,	1.76,	0.01,	13.00,	0.03
-80.00,	5.00,	-30.00,	-0.7157,	0.0018,	1.89,	0.01,	13.01,	0.03
-80.00,	5.00,	-25.00,	-0.6906,	0.0019,	2.07,	0.01,	12.89,	0.03
-80.00,	5.00,	-20.00,	-0.6624,	0.0020,	2.28,	0.01,	12.81,	0.03
-80.00,	5.00,	-15.00,	-0.6220,	0.0021,	2.53,	0.01,	12.53,	0.03
-80.00,	5.00,	-10.00,	-0.5675,	0.0023,	2.85,	0.01,	12.05,	0.03
-80.00,	5.00,	-7.50,	-0.5256,	0.0024,	3.07,	0.01,	11.67,	0.03
-80.00,	5.00,	-5.00,	-0.4900,	0.0025,	3.23,	0.01,	11.25,	0.03
-80.00,	5.00,	-2.50,	-0.4504,	0.0026,	3.40,	0.01,	10.84,	0.03
-80.00,	5.00,	0.00,	-0.4040,	0.0027,	3.59,	0.02,	10.35,	0.03
-80.00,	5.00,	2.50,	-0.3579,	0.0028,	3.78,	0.02,	9.86,	0.03
-80.00,	5.00,	5.00,	-0.3041,	0.0030,	3.96,	0.02,	9.26,	0.03
-80.00,	5.00,	7.50,	-0.2540,	0.0030,	4.13,	0.02,	8.71,	0.03
-80.00,	5.00,	10.00,	-0.2031,	0.0031,	4.22,	0.02,	8.10,	0.03
-80.00,	5.00,	15.00,	-0.1069,	0.0032,	4.45,	0.02,	7.11,	0.03
-80.00,	5.00,	20.00,	-0.0250,	0.0033,	4.59,	0.02,	6.23,	0.03
-80.00,	5.00,	25.00,	0.0467,	0.0034,	4.69,	0.02,	5.50,	0.03
-80.00,	5.00,	30.00,	0.1074,	0.0034,	4.77,	0.02,	4.92,	0.03
-80.00,	5.00,	35.00,	0.1631,	0.0034,	4.81,	0.02,	4.41,	0.02
-80.00,	5.00,	40.00,	0.2166,	0.0034,	4.90,	0.02,	3.95,	0.02
-80.00,	5.00,	60.00,	0.4214,	0.0032,	5.27,	0.02,	2.65,	0.02
-80.00,	5.00,	80.00,	0.4801,	0.0040,	4.23,	0.02,	1.77,	0.02
-80.00,	10.00,	-80.00,	-0.8904,	0.0011,	1.78,	0.01,	36.77,	0.12
-80.00,	10.00,	-60.00,	-0.8590,	0.0009,	2.34,	0.01,	35.02,	0.08
-80.00,	10.00,	-40.00,	-0.8262,	0.0011,	2.26,	0.01,	26.15,	0.06
-80.00,	10.00,	-35.00,	-0.8185,	0.0012,	2.28,	0.01,	25.09,	0.06
-80.00,	10.00,	-30.00,	-0.8117,	0.0012,	2.33,	0.01,	24.40,	0.06
-80.00,	10.00,	-25.00,	-0.7981,	0.0013,	2.49,	0.01,	24.01,	0.05
-80.00,	10.00,	-20.00,	-0.7755,	0.0014,	2.75,	0.02,	23.65,	0.05
-80.00,	10.00,	-15.00,	-0.7382,	0.0016,	3.15,	0.02,	23.07,	0.05
-80.00,	10.00,	-10.00,	-0.6743,	0.0018,	3.79,	0.02,	21.97,	0.05
-80.00,	10.00,	-7.50,	-0.6271,	0.0020,	4.25,	0.02,	21.15,	0.05
-80.00,	10.00,	-5.00,	-0.5723,	0.0021,	4.76,	0.02,	20.24,	0.05
-80.00,	10.00,	-2.50,	-0.5054,	0.0023,	5.30,	0.02,	19.06,	0.05
-80.00,	10.00,	0.00,	-0.4324,	0.0025,	5.85,	0.02,	17.75,	0.05
-80.00,	10.00,	2.50,	-0.3537,	0.0026,	6.32,	0.02,	16.23,	0.05
-80.00,	10.00,	5.00,	-0.2666,	0.0028,	6.76,	0.02,	14.65,	0.05
-80.00,	10.00,	7.50,	-0.1752,	0.0029,	7.19,	0.02,	13.04,	0.05
-80.00,	10.00,	10.00,	-0.0900,	0.0030,	7.49,	0.02,	11.60,	0.05
-80.00,	10.00,	15.00,	0.0807,	0.0031,	8.16,	0.02,	9.08,	0.05
-80.00,	10.00,	20.00,	0.1949,	0.0031,	8.52,	0.02,	7.49,	0.04
-80.00,	10.00,	25.00,	0.2790,	0.0030,	8.79,	0.02,	6.39,	0.04
-80.00,	10.00,	30.00,	0.3445,	0.0029,	9.06,	0.03,	5.57,	0.03
-80.00,	10.00,	35.00,	0.3863,	0.0028,	9.43,	0.03,	5.10,	0.03
-80.00,	10.00,	40.00,	0.4249,	0.0027,	9.90,	0.03,	4.77,	0.03
-80.00,	10.00,	60.00,	0.5468,	0.0023,	12.91,	0.03,	4.13,	0.03
-80.00,	10.00,	80.00,	0.6361,	0.0025,	12.09,	0.04,	2.92,	0.02
-80.00,	50.00,	-80.00,	-0.9362,	0.0002,	8.40,	0.03,	267.63,	0.72
-80.00,	50.00,	-60.00,	-0.8829,	0.0005,	2.57,	0.01,	46.10,	0.21
-80.00,	50.00,	-40.00,	-0.8941,	0.0007,	1.12,	0.01,	19.52,	0.05
-80.00,	50.00,	-35.00,	-0.9034,	0.0007,	0.99,	0.01,	18.80,	0.04
-80.00,	50.00,	-30.00,	-0.8903,	0.0007,	1.04,	0.01,	17.86,	0.04
-80.00,	50.00,	-25.00,	-0.9295,	0.0006,	0.86,	0.01,	23.07,	0.04
-80.00,	50.00,	-20.00,	-0.9401,	0.0005,	0.83,	0.01,	25.74,	0.04
-80.00,	50.00,	-15.00,	-0.9513,	0.0005,	0.73,	0.01,	27.54,	0.04
-80.00,	50.00,	-10.00,	-0.9309,	0.0006,	1.07,	0.01,	27.87,	0.04
-80.00,	50.00,	-7.50,	-0.8798,	0.0008,	1.83,	0.01,	27.29,	0.04
-80.00,	50.00,	-5.00,	-0.7748,	0.0010,	3.47,	0.02,	26.63,	0.04
-80.00,	50.00,	-2.50,	-0.6501,	0.0011,	5.51,	0.02,	25.91,	0.04
-80.00,	50.00,	0.00,	-0.5425,	0.0012,	6.95,	0.02,	24.00,	0.04
-80.00,	50.00,	2.50,	-0.4271,	0.0014,	7.78,	0.02,	20.68,	0.04
-80.00,	50.00,	5.00,	-0.2320,	0.0020,	8.19,	0.02,	15.10,	0.05
-80.00,	50.00,	7.50,	0.0788,	0.0025,	8.49,	0.02,	8.98,	0.04
-80.00,	50.00,	10.00,	0.3932,	0.0025,	8.90,	0.02,	5.02,	0.03
-80.00,	50.00,	15.00,	0.7359,	0.0019,	9.38,	0.02,	1.93,	0.02
-80.00,	50.00,	20.00,	0.8106,	0.0017,	9.08,	0.02,	1.32,	0.02
-80.00,	50.00,	25.00,	0.8180,	0.0017,	8.02,	0.02,	1.15,	0.02
-80.00,	50.00,	30.00,	0.7924,	0.0018,	6.66,	0.02,	1.11,	0.02
-80.00,	50.00,	35.00,	0.7901,	0.0018,	6.68,	0.02,	1.09,	0.02
-80.00,	50.00,	40.00,	0.7906,	0.0017,	7.21,	0.02,	1.14,	0.02
-80.00,	50.00,	60.00,	0.8513,	0.0011,	18.58,	0.07,	1.69,	0.02
-80.00,	50.00,	80.00,	0.8512,	0.0007,	74.49,	0.18,	6.24,	0.04
-80.00,	100.00,	-80.00,	-0.9319,	0.0002,	13.93,	0.05,	418.50,	1.35
-80.00,	100.00,	-60.00,	-0.8761,	0.0005,	2.43,	0.02,	38.14,	0.12
-80.00,	100.00,	-40.00,	-0.9146,	0.0006,	0.95,	0.01,	20.49,	0.04
-80.00,	100.00,	-35.00,	-0.8974,	0.0007,	1.01,	0.01,	18.34,	0.04
-80.00,	100.00,	-30.00,	-0.8794,	0.0008,	1.13,	0.01,	18.01,	0.04
-80.00,	100.00,	-25.00,	-0.9431,	0.0005,	0.74,	0.01,	24.33,	0.04
-80.00,	100.00,	-20.00,	-0.9315,	0.0005,	0.91,	0.01,	24.63,	0.04
-80.00,	100.00,	-15.00,	-0.9607,	0.0004,	0.60,	0.01,	27.74,	0.04
-80.00,	100.00,	-10.00,	-0.9603,	0.0004,	0.64,	0.01,	28.41,	0.04
-80.00,	100.00,	-7.50,	-0.9261,	0.0006,	1.13,	0.01,	27.44,	0.04
-80.00,	100.00,	-5.00,	-0.7925,	0.0009,	3.20,	0.02,	26.72,	0.04
-80.00,	100.00,	-2.50,	-0.6350,	0.0009,	6.00,	0.02,	26.69,	0.04
-80.00,	100.00,	0.00,	-0.5472,	0.0009,	7.44,	0.02,	25.52,	0.04
-80.00,	100.00,	2.50,	-0.4722,	0.0011,	8.07,	0.02,	22.93,	0.04
-80.00,	100.00,	5.00,	-0.2730,	0.0016,	8.38,	0.02,	15.82,	0.04
-80.00,	100.00,	7.50,	0.1423,	0.0021,	8.51,	0.02,	7.38,	0.03
-80.00,	100.00,	10.00,	0.5432,	0.0021,	9.00,	0.02,	3.24,	0.03
-80.00,	100.00,	15.00,	0.8194,	0.0016,	9.66,	0.02,	1.31,	0.02
-80.00,	100.00,	20.00,	0.8294,	0.0015,	9.19,	0.02,	1.19,	0.02
-80.00,	100.00,	25.00,	0.8292,	0.0016,	8.01,	0.02,	1.05,	0.01
-80.00,	100.00,	30.00,	0.7964,	0.0018,	6.23,	0.02,	1.01,	0.02
-80.00,	100.00,	35.00,	0.8010,	0.0017,	6.66,	0.02,	1.00,	0.01
-80.00,	100.00,	40.00,	0.7912,	0.0017,	7.07,	0.02,	1.08,	0.01
-80.00,	100.00,	60.00,	0.8559,	0.0010,	16.41,	0.05,	1.46,	0.01
-80.00,	100.00,	80.00,	0.8670,	0.0005,	109.77,	0.32,	8.34,	0.04
-60.00,	5.00,	-80.00,	-0.7930,	0.0022,	0.90,	0.01,	9.01,	0.04
