postion	PMT+	PMT-
-98	0.00233231	0.0101807
-94.5	0.00228349	0.00905275
-91	0.00226077	0.00908043
-87.5	0.0024138	0.00911966
-84	0.00241184	0.00860881
-80.5	0.00259919	0.00833683
-77	0.00272329	0.00811903
-73.5	0.00262315	0.00781457
-70	0.00285611	0.0079392
-66.5	0.00291867	0.00738772
-63	0.00288262	0.00714301
-59.5	0.00302079	0.00728958
-56	0.00310432	0.00701155
-52.5	0.00309549	0.00670904
-49	0.00322722	0.00672677
-45.5	0.00318933	0.00653166
-42	0.00337972	0.00655313
-38.5	0.00333925	0.00619671
-35	0.00341678	0.00629027
-31.5	0.0035044	0.00603744
-28	0.0035314	0.00585189
-24.5	0.0036466	0.00566201
-21	0.00376691	0.00581839
-17.5	0.00373853	0.00545942
-14	0.00380715	0.00554029
-10.5	0.00378103	0.00542219
-7	0.00400582	0.00515116
-3.5	0.00435299	0.0051658
0	0.0044508	0.00488109
3.5	0.00494964	0.00407595
7	0.00508326	0.0040353
10.5	0.00501791	0.00363158
14	0.00563157	0.00380332
17.5	0.0055346	0.00354444
21	0.00542481	0.00341632
24.5	0.00568481	0.00336054
28	0.00597082	0.00348922
31.5	0.0059428	0.00337246
35	0.00638576	0.00335357
38.5	0.00650246	0.0033122
42	0.00640245	0.00317333
45.5	0.00662754	0.00316117
49	0.00679903	0.00310517
52.5	0.0070968	0.00304274
56	0.00705192	0.0029992
59.5	0.00717595	0.00291416
63	0.00713645	0.00290097
66.5	0.0071266	0.00273201
70	0.00749553	0.00283706
73.5	0.00822165	0.00287041
77	0.00760421	0.00265788
80.5	0.00761851	0.00256493
84	0.00793118	0.00247679
87.5	0.00823612	0.00245628
91	0.00844196	0.00234618
94.5	0.00885295	0.00221782
98	0.0100031	0.00213435
