postion	PMT+	PMT-
-98	0.00153347	0.0125002
-94.5	0.00155457	0.0105103
-91	0.00163344	0.0102795
-87.5	0.00166284	0.00976481
-84	0.00174705	0.00947389
-80.5	0.0017262	0.00858761
-77	0.00186815	0.00885295
-73.5	0.00171911	0.00815582
-70	0.00190841	0.00832624
-66.5	0.00196783	0.00795301
-63	0.00201789	0.00842996
-59.5	0.0020525	0.00809849
-56	0.00204542	0.00802798
-52.5	0.00216045	0.00796956
-49	0.00220889	0.00791065
-45.5	0.00214424	0.00731017
-42	0.00221499	0.00733235
-38.5	0.00224321	0.00746735
-35	0.00226626	0.00730169
-31.5	0.00225504	0.00720566
-28	0.00224811	0.00687612
-24.5	0.00237451	0.0069328
-21	0.0023632	0.00677148
-17.5	0.00231782	0.00648197
-14	0.00241879	0.00642893
-10.5	0.00247084	0.00638405
-7	0.00257873	0.00629022
-3.5	0.00273525	0.00610773
0	0.00314041	0.00594068
3.5	0.00604417	0.00302532
7	0.00638338	0.00257271
10.5	0.0065414	0.00250097
14	0.0065519	0.00235742
17.5	0.00660251	0.00230137
21	0.00667948	0.00227082
24.5	0.00690465	0.0022417
28	0.00697974	0.00215539
31.5	0.00705452	0.00217307
35	0.00721625	0.00215234
38.5	0.00737406	0.00208091
42	0.00735637	0.00208819
45.5	0.00782368	0.0020535
49	0.00771765	0.00204274
52.5	0.00806182	0.00207073
56	0.00806848	0.00201704
59.5	0.00815296	0.00202099
63	0.00838637	0.00200475
66.5	0.00809238	0.00186901
70	0.00832283	0.00187907
73.5	0.00851862	0.00176873
77	0.00875426	0.00177363
80.5	0.00891387	0.00180544
84	0.00923728	0.00173252
87.5	0.00998025	0.00174258
91	0.00995898	0.00167469
94.5	0.010849	0.00162778
98	0.0120593	0.00162809
