postion	PMT+	PMT-
-98	0.00158286	0.0118704
-94.5	0.00189795	0.0105997
-91	0.00179945	0.010449
-87.5	0.00187019	0.00958146
-84	0.00184932	0.00919072
-80.5	0.00197435	0.00890879
-77	0.0019727	0.00867922
-73.5	0.00217668	0.00858939
-70	0.00205856	0.00853402
-66.5	0.00209137	0.00851458
-63	0.0021028	0.00799289
-59.5	0.00215543	0.00786206
-56	0.00234239	0.00814749
-52.5	0.00220131	0.00765754
-49	0.00223661	0.00755487
-45.5	0.0023027	0.00738948
-42	0.00241861	0.00763049
-38.5	0.00241643	0.00738778
-35	0.00239855	0.00722277
-31.5	0.00245296	0.00703953
-28	0.00249549	0.00690506
-24.5	0.00255717	0.00698315
-21	0.00261268	0.00680755
-17.5	0.00267317	0.00671259
-14	0.00274689	0.00648935
-10.5	0.00283427	0.00657473
-7	0.00278355	0.00628425
-3.5	0.00301379	0.00617893
0	0.00341941	0.00594786
3.5	0.0063069	0.00320509
7	0.00644003	0.00277199
10.5	0.0065154	0.0026211
14	0.00674957	0.00248732
17.5	0.00655576	0.00237174
21	0.00677653	0.00234368
24.5	0.00708409	0.00236555
28	0.00704249	0.00224018
31.5	0.00700719	0.00212789
35	0.00724791	0.00220742
38.5	0.00719509	0.00216857
42	0.0075075	0.00216417
45.5	0.00749754	0.00208597
49	0.00765698	0.0021188
52.5	0.0078845	0.00211522
56	0.00787983	0.0020522
59.5	0.00774533	0.00205501
63	0.00833202	0.00206469
66.5	0.00823013	0.00200473
70	0.00806459	0.00195356
73.5	0.00837553	0.00192667
77	0.00830079	0.00177696
80.5	0.00837383	0.0016813
84	0.00847313	0.00168854
87.5	0.00924231	0.00173563
91	0.00954405	0.00170279
94.5	0.00928547	0.0015558
98	0.00931119	0.00155902
