postion	PMT+	PMT-
-98	0.0019899	0.0115092
-94.5	0.00207723	0.0103546
-91	0.00204135	0.00982035
-87.5	0.00218879	0.00984511
-84	0.00224443	0.00938835
-80.5	0.0022594	0.00911777
-77	0.00238231	0.00896183
-73.5	0.00238599	0.00809063
-70	0.00243585	0.00841001
-66.5	0.00243834	0.00795206
-63	0.00259002	0.00783071
-59.5	0.00259791	0.00780894
-56	0.00285903	0.00751957
-52.5	0.00278434	0.00711094
-49	0.00285365	0.00679294
-45.5	0.00303757	0.00685978
-42	0.0029491	0.00656789
-38.5	0.00311963	0.00638775
-35	0.00307188	0.00620271
-31.5	0.0032153	0.00625572
-28	0.00326533	0.0058193
-24.5	0.00330372	0.00562991
-21	0.00352132	0.00548159
-17.5	0.00345034	0.0052941
-14	0.00362478	0.00519816
-10.5	0.00372544	0.00509292
-7	0.00377357	0.00497682
-3.5	0.00407544	0.00499627
0	0.00483909	0.00424857
3.5	0.00495355	0.00372412
7	0.0052287	0.00359903
10.5	0.00524589	0.00348083
14	0.00541801	0.00345876
17.5	0.0054818	0.00322379
21	0.00575764	0.00323392
24.5	0.0057567	0.00318399
28	0.00585985	0.00309851
31.5	0.00615953	0.00310824
35	0.00623133	0.00297253
38.5	0.00625865	0.00288809
42	0.00642772	0.00290675
45.5	0.00701712	0.00306188
49	0.00682392	0.00283258
52.5	0.00724214	0.00290444
56	0.00736589	0.00273279
59.5	0.00748522	0.00277007
63	0.00774316	0.00264066
66.5	0.00770016	0.0025218
70	0.00791556	0.00240471
73.5	0.00772001	0.00233502
77	0.00841872	0.00241232
80.5	0.00866988	0.0023216
84	0.00864797	0.00223574
87.5	0.0090005	0.00205292
91	0.00933977	0.00201948
94.5	0.00991522	0.00192719
98	0.0112307	0.00205631
