postion	PMT+	PMT-
-98	0.0015044	0.00923498
-94.5	0.0022431	0.0113237
-91	0.00222198	0.00945663
-87.5	0.00245226	0.00934618
-84	0.00245289	0.00874312
-80.5	0.00255321	0.00835979
-77	0.0025623	0.00826287
-73.5	0.00245476	0.00774291
-70	0.00265916	0.00783941
-66.5	0.00279135	0.00787396
-63	0.00278411	0.00752833
-59.5	0.00298554	0.0076076
-56	0.00280369	0.00707305
-52.5	0.00304954	0.00738705
-49	0.00309508	0.00694461
-45.5	0.00311569	0.00652018
-42	0.00311251	0.00646396
-38.5	0.00317652	0.00622266
-35	0.00325268	0.006231
-31.5	0.00337974	0.00639078
-28	0.00339667	0.00597317
-24.5	0.00350038	0.00590653
-21	0.00348739	0.00578283
-17.5	0.00352821	0.00547541
-14	0.0036035	0.00526627
-10.5	0.003847	0.005305
-7	0.00382183	0.00492789
-3.5	0.00381213	0.00462001
0	0.00408529	0.00452155
3.5	0.00447806	0.00410301
7	0.00472346	0.00385756
10.5	0.00512093	0.00382466
14	0.00533658	0.00365345
17.5	0.00573756	0.00363044
21	0.00564892	0.0034905
24.5	0.00584618	0.00342651
28	0.00585976	0.00335632
31.5	0.00612899	0.00330448
35	0.00612	0.0031981
38.5	0.00650817	0.00323934
42	0.00650709	0.00310966
45.5	0.00674634	0.00307518
49	0.00663902	0.00292792
52.5	0.00712003	0.0029214
56	0.00719318	0.00291005
59.5	0.00731221	0.00297472
63	0.00756135	0.00279303
66.5	0.007783	0.00266024
70	0.00799058	0.00268552
73.5	0.00797127	0.00247665
77	0.00805432	0.00242601
80.5	0.00842676	0.00245744
84	0.00874243	0.0024441
87.5	0.00904795	0.00224012
91	0.00950795	0.00227196
94.5	0.00961137	0.00223399
98	0.0110735	0.00215338
