postion	PMT+	PMT-
-98	0.00200206	0.0106478
-94.5	0.00206628	0.00948465
-91	0.00221459	0.00950257
-87.5	0.00224941	0.00865936
-84	0.00233832	0.00887921
-80.5	0.00243932	0.00877869
-77	0.00238731	0.00830089
-73.5	0.00249763	0.00833284
-70	0.0026055	0.00810509
-66.5	0.00279771	0.00814243
-63	0.00268341	0.00774699
-59.5	0.0027305	0.00746254
-56	0.00285554	0.00743188
-52.5	0.00298679	0.00728429
-49	0.0030082	0.00716321
-45.5	0.00304207	0.00689656
-42	0.00316621	0.00684355
-38.5	0.00321784	0.00669193
-35	0.00326215	0.00640904
-31.5	0.00337185	0.00630695
-28	0.00336921	0.00614981
-24.5	0.0034711	0.00597756
-21	0.00349247	0.00575772
-17.5	0.00352347	0.00545517
-14	0.00367469	0.00536823
-10.5	0.00377305	0.00514723
-7	0.00398143	0.00510604
-3.5	0.00424663	0.00478215
0	0.00478122	0.00468401
3.5	0.0052764	0.00411397
7	0.00536826	0.00380456
10.5	0.00530662	0.00349935
14	0.00554869	0.00353016
17.5	0.00572798	0.00341749
21	0.00593732	0.00336031
24.5	0.00609097	0.00332893
28	0.00614645	0.00316713
31.5	0.00643942	0.00315072
35	0.0063087	0.00309991
38.5	0.00650498	0.00308037
42	0.00664329	0.00294815
45.5	0.00681653	0.00292488
49	0.00707079	0.00292458
52.5	0.00696428	0.00281438
56	0.00723438	0.00286563
59.5	0.00733735	0.0027584
63	0.00740259	0.00267155
66.5	0.00758626	0.00267134
70	0.00765357	0.00255378
73.5	0.00772907	0.00249343
77	0.00797	0.00247757
80.5	0.00810971	0.00235737
84	0.0082404	0.00233671
87.5	0.00848064	0.00211736
91	0.00868452	0.00205119
94.5	0.00962145	0.0020387
98	0.00975682	0.00200091
