postion	PMT+	PMT-
-98	0.00233974	0.0105438
-94.5	0.00219374	0.00959737
-91	0.00234028	0.00913245
-87.5	0.00255733	0.00890593
-84	0.00248623	0.00879584
-80.5	0.00275307	0.00886758
-77	0.00272896	0.00819998
-73.5	0.00269044	0.0079469
-70	0.00278228	0.00773824
-66.5	0.00310081	0.00770463
-63	0.00296475	0.00751374
-59.5	0.00302536	0.00717556
-56	0.0030724	0.00717318
-52.5	0.00320515	0.00723749
-49	0.00329682	0.00698194
-45.5	0.00331853	0.00672943
-42	0.00337445	0.0068431
-38.5	0.00336031	0.00641629
-35	0.00344463	0.00635888
-31.5	0.00357366	0.00630617
-28	0.00357604	0.00603602
-24.5	0.00372863	0.00587982
-21	0.00368998	0.00566052
-17.5	0.00369945	0.00561026
-14	0.00384783	0.0056331
-10.5	0.00396813	0.0054443
-7	0.00406279	0.00530145
-3.5	0.0043247	0.00523543
0	0.00474914	0.00472929
3.5	0.00509548	0.00401718
7	0.00523936	0.00374003
10.5	0.00557227	0.00356515
14	0.00542591	0.00358525
17.5	0.00564073	0.00348419
21	0.00574082	0.00348534
24.5	0.00560975	0.0032561
28	0.00593583	0.00327626
31.5	0.00591989	0.0032605
35	0.00618168	0.00317207
38.5	0.00651259	0.00317742
42	0.00640205	0.00308269
45.5	0.00647771	0.00291007
49	0.00665015	0.00292934
52.5	0.00670981	0.00289574
56	0.00688606	0.00284493
59.5	0.00730239	0.00274442
63	0.00704357	0.00261446
66.5	0.00739524	0.00265398
70	0.00743811	0.00258857
73.5	0.00765153	0.00254686
77	0.00747686	0.00238551
80.5	0.00785031	0.00238417
84	0.00761009	0.00229945
87.5	0.00801546	0.0023466
91	0.0083801	0.00214387
94.5	0.00833498	0.00202665
98	0.00984775	0.0021783
